- 1 2 3 4 5 6 7 8 9 10 11 12 
A 10 3 9 17 19 3 19 17 1 0 17 10 
B 9 10 17 19 0 14 11 16 19 4 13 1 
C 8 8 20 16 3 8 14 11 14 12 6 7 
D 13 7 13 11 4 11 14 9 4 1 7 4 
E 3 0 10 1 19 3 3 18 10 2 6 0 
F 16 11 20 3 19 1 10 19 18 9 0 19 
G 14 3 10 19 11 3 16 20 17 6 19 5 
H 5 0 2 0 20 6 14 2 19 1 10 11 
I 5 12 9 15 4 7 10 1 14 2 20 19 
J 1 3 10 4 15 8 5 11 8 14 15 6 
K 12 17 20 6 7 15 17 5 4 18 19 12 
L 4 20 11 13 20 5 1 11 11 11 14 13 
M 17 13 6 3 14 3 2 19 12 10 16 13 
N 1 10 5 4 15 6 8 5 12 3 17 17 
O 6 20 19 5 1 7 6 19 0 8 5 12 
P 11 13 10 19 17 2 19 20 6 16 17 2 
Q 8 20 16 4 14 16 15 20 20 4 5 17 
R 2 13 17 13 5 10 11 6 11 16 17 3 
S 5 20 5 0 15 0 14 16 9 16 8 16 
T 19 6 16 8 3 8 10 13 5 8 5 10 
U 3 15 7 0 1 2 14 16 14 20 5 16 
V 20 5 9 20 3 16 17 6 7 3 5 9 
W 14 11 16 3 0 10 7 8 8 5 1 5 
X 5 3 19 6 15 7 11 10 0 18 18 15 
Y 3 15 13 20 5 7 4 16 19 11 7 5 
Z 14 1 2 12 17 6 7 12 9 20 10 17 
