- 1 2 3 4 5 6 7 8 9 10 11 12 
A 19 1 0 10 8 17 8 15 7 13 6 2 
B 0 17 8 4 20 12 19 9 15 16 0 11 
C 18 12 17 1 9 11 5 6 9 10 10 6 
D 20 19 17 2 9 4 8 14 11 17 20 17 
E 9 13 20 1 16 6 0 2 2 17 1 6 
F 20 8 2 1 20 7 12 9 7 8 18 20 
G 9 13 14 7 8 15 17 16 12 4 6 11 
H 10 19 20 15 6 13 6 19 0 9 14 16 
I 4 7 19 5 8 19 13 9 6 20 9 9 
J 8 12 14 0 7 16 8 10 10 11 20 5 
K 15 18 1 13 11 7 4 10 10 7 6 16 
L 16 4 6 8 13 5 10 11 4 17 4 3 
M 2 16 18 17 19 4 5 10 19 2 17 3 
N 4 7 18 0 10 6 11 20 12 3 2 4 
O 1 15 7 19 12 15 12 0 6 8 15 14 
P 5 20 15 8 11 4 8 2 6 7 17 20 
Q 20 17 14 10 17 1 14 1 3 0 2 16 
R 3 20 12 20 8 16 2 14 19 10 6 4 
S 5 16 3 1 18 2 9 14 14 16 14 5 
T 16 15 10 13 19 12 13 4 7 10 15 13 
U 18 18 1 6 20 10 20 1 14 6 2 5 
V 19 4 4 1 5 3 2 19 12 15 7 16 
W 8 18 19 4 13 19 14 6 19 4 8 17 
X 15 5 8 10 7 12 20 12 1 11 8 19 
Y 0 18 16 7 20 15 15 8 1 7 6 2 
Z 7 4 4 14 14 1 17 4 9 18 18 8 
